#OTU ID	Kingdom	Phylum	Class	Order	Family	Genus	Species
b55c2a1eccbdb44702f38b40132cfb06	k__Bacteria	Proteobacteria	 c__Deltaproteobacteria	 o__Desulfovibrionales	 f__Desulfovibrionaceae	 g__Bilophila	 s__
754dae964be70a01e875eaf5ce53708d	k__Bacteria	Firmicutes	 c__Clostridia	 o__Clostridiales	 f__Lachnospiraceae		
ca40a5c4dd333b6f129bd3f07a9b7878	k__Bacteria	Proteobacteria	 c__Betaproteobacteria	 o__Neisseriales	 f__Neisseriaceae	 g__Snodgrassella	 s__alvi
da491ddced82bf116892f8b808cd29c9	k__Bacteria	Unclassified					
eeccae1313745f36aa88456273545e03	k__Bacteria	Bacteroidetes	 c__Bacteroidia	 o__Bacteroidales			
960661d8c98c0a2e42b50de5a7f627e3	k__Bacteria	Firmicutes	 c__Erysipelotrichi	 o__Erysipelotrichales	 f__Erysipelotrichaceae	 g__Coprobacillus	
101115b2728c2c096a6e97638e8d2bec	k__Bacteria	Firmicutes	 c__Erysipelotrichi	 o__Erysipelotrichales	 f__Erysipelotrichaceae	 g__	 s__
1ab6122e5a25db3427342a3913c4d165	k__Bacteria	Firmicutes	 c__Clostridia	 o__Clostridiales	 f__Ruminococcaceae	 g__Oscillospira	 s__
2220bd46b69ee6ca1b113fde86363909	k__Bacteria	Firmicutes	 c__Clostridia	 o__Clostridiales	 f__Lachnospiraceae	 g__	 s__
60c8ae317eaf5030d883332f4853247e	k__Bacteria	Firmicutes	 c__Clostridia	 o__Clostridiales	 f__Ruminococcaceae		
185fd6712a5945cd40c13e3757bac95d	k__Bacteria	Proteobacteria	 c__Gammaproteobacteria	 o__Enterobacteriales	 f__Enterobacteriaceae		
957197b18130c74455a848834446f071	k__Bacteria	Firmicutes	 c__Clostridia	 o__Clostridiales	 f__Ruminococcaceae	 g__Oscillospira	 s__
1c1f0ab8041bbdae7da3ffd06e256d57	k__Bacteria	Firmicutes	 c__Clostridia	 o__Clostridiales	 f__Lachnospiraceae		
b4986d9e661a11bbfda860f5ddbac183	k__Bacteria	Unclassified					
66f80e9c8a8e76e7e2fb2a3676214052	k__Bacteria	Firmicutes	 c__Erysipelotrichi	 o__Erysipelotrichales	 f__Erysipelotrichaceae	 g__[Eubacterium]	 s__dolichum
51a875a194307609da18811102b2d9f1	k__Bacteria	Firmicutes	 c__Clostridia	 o__Clostridiales	 f__Ruminococcaceae		
c5016c0c3edd1e05332583f8ca603d54	k__Bacteria	Bacteroidetes	 c__Bacteroidia	 o__Bacteroidales	 f__Bacteroidaceae	 g__Bacteroides	 s__
e77d80278ef51c5f6f4afbc72e25ede0	k__Bacteria	Firmicutes	 c__Bacilli	 o__Lactobacillales	 f__Lactobacillaceae	 g__Lactobacillus	 s__
ec6aa03af1f8e694ff91e90f998ce118	k__Bacteria	Firmicutes	 c__Clostridia	 o__Clostridiales	 f__Ruminococcaceae	 g__Ruminococcus	 s__
3329d7243c0c71ee2c28cd793810528c	k__Bacteria	Firmicutes	 c__Clostridia	 o__Clostridiales	 f__Ruminococcaceae		
01ce8624b5f72c4af723f7632bc059d8	k__Bacteria	Bacteroidetes	 c__Bacteroidia	 o__Bacteroidales	 f__Rikenellaceae	 g__Alistipes	 s__indistinctus
7f24f67e929287751fad84123af6f851	k__Bacteria	Firmicutes	 c__Clostridia	 o__Clostridiales	 f__Lachnospiraceae		
