index	names	Swab	Smallintestine
Sg.M.I.7.16S	d__Bacteria.p__Acidobacteriota	0	-4.488116666731382
Sg.M.I.7.16S	d__Bacteria.p__Deferribacterota	0	-7.569459311309233
Sg.M.I.8.16S	d__Bacteria.p__Firmicutes	0	6.486144179705043
Sg.M.I.8.16S	d__Bacteria.p__Bacteroidota	0	5.8521446716477925
Sg.M.I.8.16S	d__Bacteria.p__Proteobacteria	0	10.164439141354359
Sg.M.I.8.16S	d__Bacteria.p__Desulfobacterota	0	-0.961406137457064
Sg.M.I.8.16S	d__Bacteria.p__Actinobacteriota	0	-0.9482007742602497
Sg.M.I.8.16S	d__Bacteria.p__Cyanobacteria	0	-0.948036354346884
Sg.M.I.8.16S	d__Bacteria.p__Campilobacterota	0	-0.9614124696226668
Sg.M.I.8.16S	d__Bacteria.p__Verrucomicrobiota	0	-0.9611935165296849
Sg.M.I.8.16S	d__Bacteria.__Unassaigned	0	-2.1446781604634193
Sg.M.I.8.16S	d__Bacteria.p__Spirochaetota	0	-5.836291870801645
Sg.M.I.8.16S	d__Bacteria.p__Acidobacteriota	0	-3.499148641992535
Sg.M.I.8.16S	d__Bacteria.p__Deferribacterota	0	-6.242360067233046
Sg.M.I.9.16S	d__Bacteria.p__Firmicutes	0	7.026714385804835
Sg.M.I.9.16S	d__Bacteria.p__Bacteroidota	0	7.353106324474599
Sg.M.I.9.16S	d__Bacteria.p__Proteobacteria	0	4.332359818878945
Sg.M.I.9.16S	d__Bacteria.p__Desulfobacterota	0	3.850337001784142
Sg.M.I.9.16S	d__Bacteria.p__Actinobacteriota	0	0.11517679510619905
Sg.M.I.9.16S	d__Bacteria.p__Cyanobacteria	0	1.1960895066749084
Sg.M.I.9.16S	d__Bacteria.p__Campilobacterota	0	-3.9524598710066403
Sg.M.I.9.16S	d__Bacteria.p__Verrucomicrobiota	0	2.8711813893304456
Sg.M.I.9.16S	d__Bacteria.__Unassaigned	0	-3.9095795144093564
Sg.M.I.9.16S	d__Bacteria.p__Spirochaetota	0	-6.93800028967193
Sg.M.I.9.16S	d__Bacteria.p__Acidobacteriota	0	-4.600857060862819
Sg.M.I.9.16S	d__Bacteria.p__Deferribacterota	0	-7.34406848610333
