OTUID	Sg.M.HC.1.16S	Sg.M.HC.2.16S	Sg.M.HC.3.16S	Sg.M.HC.10.16S	Sg.M.HC.4.16S	Sg.M.HC.5.16S	Sg.M.HC.6.16S	Sg.M.HC.7.16S	Sg.M.HC.8.16S	Sg.M.HC.9.16S	Sg.M.R.1.16S	Sg.M.R.2.16S	Sg.M.R.3.16S	Sg.M.R.10.16S	Sg.M.R.4.16S	Sg.M.R.5.16S	Sg.M.R.6.16S	Sg.M.R.7.16S	Sg.M.R.8.16S	Sg.M.R.9.16S
43cd7316071c4121768c2918c72fc3e8	0	0	0	0	0	0	0	0	0	0	0	23	0	0	0	0	0	0	0	0
991939ee78d521d7e81a1b1ca0d5d593	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	117	0	0
79030f9c3947f7ccc6912a851d88f50b	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	62	34	0
85e30d09187bb7b6edbd5b344bf985e6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21	0	0
d0a641c0e30d3c2f5b1e191958edb292	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	15	13	0
9e1b2d505887fbe8b42d3a60705da434	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
b66e01d3975c4ef9c2a616e976a12bb1	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0
47082eb92759c2179725fe69f11672c5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
30f7a9819d58e8c66856a6cda286a9f1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	34	0	0	0
65f1d29871c8da3b9207a0baeea0f9af	0	69	29	0	0	0	0	0	0	0	37	57	71	99	0	199	59	151	328	438
4d0d77bc33b95d788176362a73be6de1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0
fda2c882a659c6f3c70970e6ac06b7da	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	312	0	0	0	0
9f85c932d39ddb56e39270932eeb7210	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	86
ded7606e2b557e95870c254bd90c3130	0	24	0	0	0	0	0	0	0	0	33	0	0	0	0	88	0	0	0	0
b3b85712c00d0750ff579836e3c8da87	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	62	8	0
e45f08fadf53807334e13d5bd6e9c5c9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50	0	0
5e24a5fd0b3d19bdbdacf383799d558f	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24	0	0
e8053dea576819ffb32013b2d8eaed8b	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
a6d38d68ef15ef6a463d78403b85e7e2	0	0	0	0	0	0	0	0	0	0	0	0	0	75	0	0	0	0	152	0
b95257b4691a9701bcfc952c1ac76175	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0
5c78df2dd11b971267cd317014f5d692	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17
b231a224b2c0a705ac12229d9a940506	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	54	0	0
da91dca9400c1074c8b3aaad02179172	0	0	0	0	0	0	0	0	0	0	0	0	0	40	0	0	0	0	0	0
0db21076d3d2b935599d211da69f6773	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
54402d43b1a102231d500b27b0dcf5fe	0	0	0	0	0	0	0	0	0	0	0	20	0	0	0	0	0	0	0	0
c55b9aa438ccd2f255a068425de5238d	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	266	0	0	0	0
f9fc7a54d52b59a8c803082450b051cc	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1862c110740053501d1a2f9cb509e156	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0
01993aba463e74b6c31b2cebdc8f5ff1	0	18	0	0	0	0	25	0	0	0	27	0	0	206	35	3786	1487	0	0	0
cfccf831df0afe8caa3d3e6b6e889952	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
81d84a7cab1e413cdab49e05dc6da3e1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
01353923e2e6219198b8d092099e0d9f	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
eeccae1313745f36aa88456273545e03	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
901e4690ae06c9889387df9702ac52a6	0	0	0	0	0	0	41	0	0	0	0	0	0	0	0	108	691	0	52	0
df041c06789749b3c8eebae4dcec0650	0	0	0	0	0	0	0	0	0	0	0	0	0	291	0	99	0	0	0	0
6ac278c0d9b205a362449463a1bdfff8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25	0	0
0f7d915b3799a3ff400c85690cc3ebdd	0	0	0	0	0	0	38	0	0	0	0	0	0	0	0	0	534	0	0	0
eb7b29a2f748c61f1a0d50fc684ddf5d	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	91	0	0	0	0
d0da393b2446c4759ffd80210c1109a1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21
2aac05de665bc36308abaa0612eccbb0	0	0	0	0	0	0	0	0	0	0	14	27	0	0	3	25	0	140	36	33
279f2a8ebfe3f20e867b46f19e198d5a	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
7f9dc78737f02ec14d5878647a9caa37	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6
87ab0a255949aabbe1a49f8578b991d1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
b36678b883975c24b429d01961572d0b	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	35	0	0	0	0
931b95c7ec8076f15d2647ce159fce8f	0	0	0	78	0	0	0	0	0	0	0	0	0	489	0	575	0	0	0	0
d91520419b7edb2c4cacea3929787901	0	0	0	0	0	0	0	0	0	0	0	0	0	334	0	350	0	0	0	0
8431ce797c88c8ae073512bf2145e2ae	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0
02f7a1e1f9e36c93ee6d78dde2840444	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	32	0	44
d1316b26e5350da36e6456499ecdfe18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
