q,Site1,Site2,DT,Non_lethal,Turnover
1,Sg.M.HC.6.16S,Sg.M.E.9.16S,Stomach,Cloaca,0.824453392
1,Sg.M.HC.7.16S,Sg.M.E.9.16S,Stomach,Cloaca,1
1,Sg.M.HC.8.16S,Sg.M.E.9.16S,Stomach,Cloaca,0.995994234
1,Sg.M.HC.9.16S,Sg.M.E.9.16S,Stomach,Cloaca,1
1,Sg.M.I.1.16S,Sg.M.H.1.16S,Small intestine,Feces,0.378979602
1,Sg.M.I.10.16S,Sg.M.H.1.16S,Small intestine,Feces,0.647385804
1,Sg.M.I.2.16S,Sg.M.H.1.16S,Small intestine,Feces,0.396739862
1,Sg.M.I.3.16S,Sg.M.H.1.16S,Small intestine,Feces,0.552886196
1,Sg.M.I.4.16S,Sg.M.H.1.16S,Small intestine,Feces,0.9861396
1,Sg.M.I.5.16S,Sg.M.H.1.16S,Small intestine,Feces,0.690899067
1,Sg.M.I.6.16S,Sg.M.H.1.16S,Small intestine,Feces,0.656517727
1,Sg.M.I.7.16S,Sg.M.H.1.16S,Small intestine,Feces,0.630936298
1,Sg.M.I.8.16S,Sg.M.H.1.16S,Small intestine,Feces,0.954657856
1,Sg.M.I.9.16S,Sg.M.H.1.16S,Small intestine,Feces,0.685137625
1,Sg.M.R.1.16S,Sg.M.H.1.16S,Rectum,Feces,0.126277242
1,Sg.M.R.10.16S,Sg.M.H.1.16S,Rectum,Feces,0.648434738
1,Sg.M.R.2.16S,Sg.M.H.1.16S,Rectum,Feces,0.630777182
1,Sg.M.R.3.16S,Sg.M.H.1.16S,Rectum,Feces,0.629938
1,Sg.M.R.4.16S,Sg.M.H.1.16S,Rectum,Feces,0.943459682
1,Sg.M.R.5.16S,Sg.M.H.1.16S,Rectum,Feces,0.68301177
1,Sg.M.R.6.16S,Sg.M.H.1.16S,Rectum,Feces,0.65608281
1,Sg.M.R.7.16S,Sg.M.H.1.16S,Rectum,Feces,0.623701197
1,Sg.M.R.8.16S,Sg.M.H.1.16S,Rectum,Feces,0.624503231
1,Sg.M.R.9.16S,Sg.M.H.1.16S,Rectum,Feces,0.688476627
1,Sg.M.I.1.16S,Sg.M.H.10.16S,Small intestine,Feces,0.790676098
1,Sg.M.I.10.16S,Sg.M.H.10.16S,Small intestine,Feces,0.218170198
1,Sg.M.I.2.16S,Sg.M.H.10.16S,Small intestine,Feces,0.752803859
1,Sg.M.I.3.16S,Sg.M.H.10.16S,Small intestine,Feces,0.753660455
1,Sg.M.I.4.16S,Sg.M.H.10.16S,Small intestine,Feces,0.967497138
1,Sg.M.I.5.16S,Sg.M.H.10.16S,Small intestine,Feces,0.525728322
1,Sg.M.I.6.16S,Sg.M.H.10.16S,Small intestine,Feces,0.217162233
1,Sg.M.I.7.16S,Sg.M.H.10.16S,Small intestine,Feces,0.69409653
1,Sg.M.I.8.16S,Sg.M.H.10.16S,Small intestine,Feces,0.940440861
1,Sg.M.I.9.16S,Sg.M.H.10.16S,Small intestine,Feces,0.574817066
1,Sg.M.R.1.16S,Sg.M.H.10.16S,Rectum,Feces,0.688315025
1,Sg.M.R.10.16S,Sg.M.H.10.16S,Rectum,Feces,0.214046956
1,Sg.M.R.2.16S,Sg.M.H.10.16S,Rectum,Feces,0.685606098
1,Sg.M.R.3.16S,Sg.M.H.10.16S,Rectum,Feces,0.627679348
