q,ID1,ID2,beta,LocalOverlap,RegionalOverlap,Homogeneity,TurnoverComp,DT,Non_lethal,Turnover
1,Sg.M.R.7.16S,Sg.M.HC.7.16S,1.91340183,0.063860117,0.063860117,0.045258747,0.08659817,Rectum,Cloaca,0.91340183
2,Sg.M.R.7.16S,Sg.M.HC.7.16S,1.77854625,0.124513912,0.22145375,0.124513912,0.22145375,Rectum,Cloaca,0.77854625
0,Sg.M.E.8.16S,Sg.M.HC.8.16S,1.818181818,0.181818182,0.1,0.1,0.181818182,Stomach,Cloaca,0.818181818
1,Sg.M.E.8.16S,Sg.M.HC.8.16S,1.979488988,0.014871958,0.014871958,0.010361771,0.020511012,Stomach,Cloaca,0.979488988
2,Sg.M.E.8.16S,Sg.M.HC.8.16S,1.994371186,0.00282235,0.005628814,0.00282235,0.005628814,Stomach,Cloaca,0.994371186
0,Sg.M.I.8.16S,Sg.M.HC.8.16S,1.928571429,0.071428571,0.037037037,0.037037037,0.071428571,Intestine,Cloaca,0.928571429
1,Sg.M.I.8.16S,Sg.M.HC.8.16S,1.989648582,0.00748636,0.00748636,0.005202636,0.010351418,Intestine,Cloaca,0.989648582
2,Sg.M.I.8.16S,Sg.M.HC.8.16S,1.996948792,0.001527935,0.003051208,0.001527935,0.003051208,Intestine,Cloaca,0.996948792
0,Sg.M.R.8.16S,Sg.M.HC.8.16S,1.96969697,0.03030303,0.015384615,0.015384615,0.03030303,Rectum,Cloaca,0.96969697
1,Sg.M.R.8.16S,Sg.M.HC.8.16S,1.888958111,0.082409291,0.082409291,0.058784728,0.111041889,Rectum,Cloaca,0.888958111
2,Sg.M.R.8.16S,Sg.M.HC.8.16S,1.873752122,0.067377044,0.126247878,0.067377044,0.126247878,Rectum,Cloaca,0.873752122
0,Sg.M.E.9.16S,Sg.M.HC.9.16S,2,0,0,0,0,Stomach,Cloaca,1
1,Sg.M.E.9.16S,Sg.M.HC.9.16S,2,4.81E-16,4.81E-16,-2.22E-16,-4.44E-16,Stomach,Cloaca,1
2,Sg.M.E.9.16S,Sg.M.HC.9.16S,2,0,0,0,0,Stomach,Cloaca,1
0,Sg.M.I.9.16S,Sg.M.HC.9.16S,1.974440895,0.025559105,0.012944984,0.012944984,0.025559105,Intestine,Cloaca,0.974440895
1,Sg.M.I.9.16S,Sg.M.HC.9.16S,1.89825677,0.075324846,0.075324846,0.053598244,0.10174323,Intestine,Cloaca,0.89825677
2,Sg.M.I.9.16S,Sg.M.HC.9.16S,1.861433891,0.074440521,0.138566109,0.074440521,0.138566109,Intestine,Cloaca,0.861433891
0,Sg.M.R.9.16S,Sg.M.HC.9.16S,1.970588235,0.029411765,0.014925373,0.014925373,0.029411765,Rectum,Cloaca,0.970588235
1,Sg.M.R.9.16S,Sg.M.HC.9.16S,1.890771853,0.081024707,0.081024707,0.057769078,0.109228147,Rectum,Cloaca,0.890771853
2,Sg.M.R.9.16S,Sg.M.HC.9.16S,1.843080304,0.085139913,0.156919696,0.085139913,0.156919696,Rectum,Cloaca,0.843080304
